iter	Passed	Remaining
944	8218	478
945	8226	469
946	8235	460
947	8242	452
948	8251	443
949	8260	434
950	8268	426
951	8277	417
952	8285	408
953	8294	399
954	8303	391
955	8311	382
956	8321	373
957	8330	365
958	8339	356
959	8347	347
960	8355	339
961	8364	330
962	8373	321
963	8382	313
964	8391	304
965	8399	295
966	8407	286
967	8416	278
968	8425	269
969	8433	260
970	8440	252
971	8449	243
972	8458	234
973	8467	226
974	8476	217
975	8484	208
976	8491	199
977	8501	191
978	8510	182
979	8519	173
980	8527	165
981	8535	156
982	8543	147
983	8551	139
984	8559	130
985	8568	121
986	8576	112
987	8586	104
988	8594	95
989	8602	86
990	8611	78
991	8620	69
992	8628	60
993	8637	52
994	8645	43
995	8653	34
996	8662	26
997	8670	17
998	8678	8
999	8686	0
